Date,Price(USD),Currency
2013-04-28,135.3,bitcoin
2013-04-29,141.96,bitcoin
2013-04-30,135.3,bitcoin
2013-05-01,117.0,bitcoin
2013-05-02,103.43,bitcoin
2013-05-03,91.01,bitcoin
2013-05-04,111.25,bitcoin
2013-05-05,116.79,bitcoin
2013-05-06,118.33,bitcoin
2013-05-07,106.4,bitcoin
2013-05-08,112.64,bitcoin
2013-05-09,113.0,bitcoin
2013-05-10,118.78,bitcoin
2013-05-11,113.01,bitcoin
2013-05-12,114.713,bitcoin
2013-05-13,117.18,bitcoin
2013-05-14,114.5,bitcoin
2013-05-15,114.156,bitcoin
2013-05-16,115.5,bitcoin
2013-05-17,123.1,bitcoin
2013-05-18,123.88,bitcoin
2013-05-19,120.501,bitcoin
2013-05-20,122.58,bitcoin
2013-05-21,122.9,bitcoin
2013-05-22,123.0,bitcoin
2013-05-23,125.748,bitcoin
2013-05-24,131.7,bitcoin
2013-05-25,130.77,bitcoin
2013-05-26,134.6,bitcoin
2013-05-27,128.985,bitcoin
2013-05-28,129.179,bitcoin
2013-05-29,132.13,bitcoin
2013-05-30,127.401,bitcoin
2013-05-31,127.98,bitcoin
2013-06-01,129.09,bitcoin
2013-06-02,121.3,bitcoin
2013-06-03,121.16,bitcoin
2013-06-05,121.309,bitcoin
2013-06-06,121.714,bitcoin
2013-06-07,119.0,bitcoin
2013-06-08,110.09,bitcoin
2013-06-09,108.401,bitcoin
2013-06-10,99.7497,bitcoin
2013-06-11,105.99,bitcoin
2013-06-12,108.9,bitcoin
2013-06-13,108.4,bitcoin
2013-06-14,102.769,bitcoin
2013-06-15,98.399,bitcoin
2013-06-16,99.99,bitcoin
2013-06-17,100.42,bitcoin
2013-06-18,102.0,bitcoin
2013-06-19,106.55,bitcoin
2013-06-20,107.9,bitcoin
2013-06-21,110.91,bitcoin
2013-06-22,109.015,bitcoin
2013-06-23,107.25,bitcoin
2013-06-24,108.0,bitcoin
2013-06-25,102.443,bitcoin
2013-06-26,103.691,bitcoin
2013-06-27,103.39,bitcoin
2013-06-28,99.66,bitcoin
2013-06-29,93.3311,bitcoin
2013-06-30,95.3886,bitcoin
2013-07-01,97.504,bitcoin
2013-07-02,89.489,bitcoin
2013-07-03,90.797,bitcoin
2013-07-04,78.8,bitcoin
2013-07-05,78.48,bitcoin
2013-07-06,67.809,bitcoin
2013-07-07,68.0831,bitcoin
2013-07-08,77.502,bitcoin
2013-07-09,76.3915,bitcoin
2013-07-10,77.0,bitcoin
2013-07-11,85.75,bitcoin
2013-07-12,93.804,bitcoin
2013-07-13,88.0622,bitcoin
2013-07-14,95.58,bitcoin
2013-07-15,94.0,bitcoin
2013-07-16,97.301,bitcoin
2013-07-17,98.9796,bitcoin
2013-07-18,97.8,bitcoin
2013-07-19,88.7869,bitcoin
2013-07-20,91.572,bitcoin
2013-07-21,89.28,bitcoin
2013-07-22,90.3672,bitcoin
2013-07-23,91.7024,bitcoin
2013-07-24,94.5806,bitcoin
2013-07-25,94.525,bitcoin
2013-07-26,96.9499,bitcoin
2013-07-27,94.13,bitcoin
2013-07-28,94.005,bitcoin
2013-07-29,98.5759,bitcoin
2013-07-30,101.5,bitcoin
2013-07-31,110.34,bitcoin
2013-08-01,106.23,bitcoin
2013-08-02,101.61,bitcoin
2013-08-03,103.7,bitcoin
2013-08-04,104.86,bitcoin
2013-08-05,106.56,bitcoin
2013-08-06,105.841,bitcoin
2013-08-07,106.75,bitcoin
2013-08-08,101.672,bitcoin
2013-08-09,103.4,bitcoin
2013-08-10,102.71,bitcoin
2013-08-11,103.77,bitcoin
2013-08-12,105.18,bitcoin
2013-08-13,106.068,bitcoin
2013-08-14,111.621,bitcoin
2013-08-15,111.87,bitcoin
2013-08-16,109.867,bitcoin
2013-08-17,112.74,bitcoin
2013-08-18,114.4,bitcoin
2013-08-19,118.782,bitcoin
2013-08-20,120.5,bitcoin
2013-08-21,121.51,bitcoin
2013-08-22,122.499,bitcoin
2013-08-23,120.0,bitcoin
2013-08-24,120.44,bitcoin
2013-08-25,122.0,bitcoin
2013-08-26,122.04,bitcoin
2013-08-27,125.67,bitcoin
2013-08-28,123.02,bitcoin
2013-08-29,123.44,bitcoin
2013-08-30,129.2,bitcoin
2013-08-31,137.76,bitcoin
2013-09-01,138.17,bitcoin
2013-09-02,137.17,bitcoin
2013-09-03,137.51,bitcoin
2013-09-04,135.21,bitcoin
2013-09-05,129.96,bitcoin
2013-09-06,126.13,bitcoin
2013-09-07,123.73,bitcoin
2013-09-08,121.77,bitcoin
2013-09-09,126.4,bitcoin
2013-09-10,127.78,bitcoin
2013-09-11,131.65,bitcoin
2013-09-12,134.22,bitcoin
2013-09-13,135.05,bitcoin
2013-09-14,131.39,bitcoin
2013-09-15,129.95,bitcoin
2013-09-16,131.48,bitcoin
2013-09-17,131.31,bitcoin
2013-09-18,132.06,bitcoin
2013-09-19,130.23,bitcoin
2013-09-20,128.57,bitcoin
2013-09-21,126.78,bitcoin
2013-09-22,128.37,bitcoin
2013-09-23,126.73,bitcoin
2013-09-24,126.09,bitcoin
2013-09-25,127.99,bitcoin
2013-09-26,128.02,bitcoin
2013-09-27,131.84,bitcoin
2013-09-28,133.93,bitcoin
2013-09-29,140.28,bitcoin
2013-09-30,131.65,bitcoin
2013-10-01,132.55,bitcoin
2013-10-02,132.04,bitcoin
2013-10-03,123.07,bitcoin
2013-10-04,128.26,bitcoin
2013-10-05,129.57,bitcoin
2013-10-06,127.56,bitcoin
2013-10-07,128.38,bitcoin
2013-10-08,125.72,bitcoin
2013-10-09,130.9,bitcoin
2013-10-10,129.68,bitcoin
2013-10-11,130.27,bitcoin
2013-10-12,135.35,bitcoin
2013-10-13,135.48,bitcoin
2013-10-14,140.48,bitcoin
2013-10-15,143.89,bitcoin
2013-10-16,143.61,bitcoin
2013-10-17,146.15,bitcoin
2013-10-18,151.34,bitcoin
2013-10-19,170.51,bitcoin
2013-10-20,172.01,bitcoin
2013-10-21,181.41,bitcoin
2013-10-22,193.45,bitcoin
2013-10-23,206.78,bitcoin
2013-10-24,198.8,bitcoin
2013-10-25,172.48,bitcoin
2013-10-26,178.96,bitcoin
2013-10-27,189.83,bitcoin
2013-10-28,198.55,bitcoin
2013-10-29,204.39,bitcoin
2013-10-30,204.2,bitcoin
2013-10-31,203.88,bitcoin
2013-11-01,205.26,bitcoin
2013-11-02,206.89,bitcoin
2013-11-03,212.45,bitcoin
2013-11-04,226.28,bitcoin
2013-11-05,230.63,bitcoin
2013-11-06,260.85,bitcoin
2013-11-07,295.63,bitcoin
2013-11-08,332.02,bitcoin
2013-11-09,358.0,bitcoin
2013-11-10,313.0,bitcoin
2013-11-11,340.55,bitcoin
2013-11-12,355.48,bitcoin
2013-11-13,404.17,bitcoin
2013-11-14,408.84,bitcoin
2013-11-15,424.16,bitcoin
2013-11-16,437.41,bitcoin
2013-11-17,488.36,bitcoin
2013-11-18,580.87,bitcoin
2013-11-19,614.4,bitcoin
2013-11-20,565.34,bitcoin
2013-11-21,675.06,bitcoin
2013-11-22,731.15,bitcoin
2013-11-23,819.31,bitcoin
2013-11-24,764.43,bitcoin
2013-11-25,793.07,bitcoin
2013-11-26,832.93,bitcoin
2013-11-27,914.13,bitcoin
2013-11-28,979.08,bitcoin
2013-11-29,1101.83,bitcoin
2013-11-30,1127.45,bitcoin
2013-12-01,1033.39,bitcoin
2013-12-02,974.03,bitcoin
2013-12-03,1078.64,bitcoin
2013-12-04,1121.48,bitcoin
2013-12-05,989.04,bitcoin
2013-12-06,1019.66,bitcoin
2013-12-07,811.98,bitcoin
2013-12-08,743.11,bitcoin
2013-12-09,897.89,bitcoin
2013-12-10,927.78,bitcoin
2013-12-11,887.08,bitcoin
2013-12-12,878.17,bitcoin
2013-12-13,897.27,bitcoin
2013-12-14,866.99,bitcoin
2013-12-15,854.62,bitcoin
2013-12-16,789.15,bitcoin
2013-12-17,691.65,bitcoin
2013-12-18,559.36,bitcoin
2013-12-19,677.84,bitcoin
2013-12-20,694.25,bitcoin
2013-12-21,596.12,bitcoin
2013-12-22,650.27,bitcoin
2013-12-23,645.75,bitcoin
2013-12-24,659.94,bitcoin
2013-12-25,668.74,bitcoin
2013-12-26,734.59,bitcoin
2013-12-27,734.27,bitcoin
2013-12-28,738.81,bitcoin
2013-12-29,726.47,bitcoin
2013-12-30,760.52,bitcoin
2013-12-31,755.16,bitcoin
2014-01-01,767.74,bitcoin
2014-01-02,772.53,bitcoin
2014-01-03,825.47,bitcoin
2014-01-04,849.14,bitcoin
2014-01-05,919.41,bitcoin
2014-01-06,936.38,bitcoin
2014-01-07,826.5,bitcoin
2014-01-08,838.32,bitcoin
2014-01-09,853.29,bitcoin
2014-01-10,863.3,bitcoin
2014-01-11,905.72,bitcoin
2014-01-12,867.45,bitcoin
2014-01-13,840.96,bitcoin
2014-01-14,838.05,bitcoin
2014-01-15,860.44,bitcoin
2014-01-16,837.98,bitcoin
2014-01-17,812.9,bitcoin
2014-01-18,840.0,bitcoin
2014-01-19,838.17,bitcoin
2014-01-20,869.15,bitcoin
2014-01-21,869.57,bitcoin
2014-01-22,865.03,bitcoin
2014-01-23,846.97,bitcoin
2014-01-24,808.32,bitcoin
2014-01-25,804.39,bitcoin
2014-01-26,853.51,bitcoin
2014-01-27,891.86,bitcoin
2014-01-28,777.0,bitcoin
2014-01-29,816.85,bitcoin
2014-01-30,817.17,bitcoin
2014-01-31,817.93,bitcoin
2014-02-01,832.52,bitcoin
2014-02-02,836.41,bitcoin
2014-02-03,813.38,bitcoin
2014-02-04,832.36,bitcoin
2014-02-05,830.92,bitcoin
2014-02-06,805.08,bitcoin
2014-02-07,721.32,bitcoin
2014-02-08,701.61,bitcoin
2014-02-09,672.07,bitcoin
2014-02-10,689.65,bitcoin
2014-02-11,697.76,bitcoin
2014-02-12,655.26,bitcoin
2014-02-13,651.91,bitcoin
2014-02-14,623.57,bitcoin
2014-02-15,644.1,bitcoin
2014-02-16,613.85,bitcoin
2014-02-17,645.14,bitcoin
2014-02-18,625.01,bitcoin
2014-02-19,620.99,bitcoin
2014-02-20,593.89,bitcoin
2014-02-21,582.75,bitcoin
2014-02-22,571.06,bitcoin
2014-02-23,622.97,bitcoin
2014-02-24,572.39,bitcoin
2014-02-25,489.31,bitcoin
2014-02-26,567.25,bitcoin
2014-02-27,586.28,bitcoin
2014-02-28,567.2,bitcoin
2014-03-01,560.11,bitcoin
2014-03-02,561.35,bitcoin
2014-03-03,585.79,bitcoin
2014-03-04,675.0,bitcoin
2014-03-05,658.24,bitcoin
2014-03-06,654.55,bitcoin
2014-03-07,617.62,bitcoin
2014-03-08,610.37,bitcoin
2014-03-09,636.17,bitcoin
2014-03-10,621.17,bitcoin
2014-03-11,624.23,bitcoin
2014-03-12,638.07,bitcoin
2014-03-13,639.03,bitcoin
2014-03-14,629.67,bitcoin
2014-03-15,638.07,bitcoin
2014-03-16,629.55,bitcoin
2014-03-17,623.705,bitcoin
2014-03-18,612.622,bitcoin
2014-03-19,610.636,bitcoin
2014-03-20,592.07,bitcoin
2014-03-21,582.303,bitcoin
2014-03-22,561.22,bitcoin
2014-03-23,567.779,bitcoin
2014-03-24,571.418,bitcoin
2014-03-25,582.55,bitcoin
2014-03-26,584.442,bitcoin
2014-03-27,567.64,bitcoin
2014-03-28,503.661,bitcoin
2014-03-29,502.302,bitcoin
2014-03-30,469.938,bitcoin
2014-03-31,457.399,bitcoin
2014-04-01,478.7163,bitcoin
2014-04-02,437.515,bitcoin
2014-04-03,447.0822,bitcoin
2014-04-04,448.8792,bitcoin
2014-04-05,464.8259,bitcoin
2014-04-06,460.7028,bitcoin
2014-04-07,457.792,bitcoin
2014-04-08,450.4638,bitcoin
2014-04-09,440.1983,bitcoin
2014-04-10,360.8407,bitcoin
2014-04-11,420.0563,bitcoin
2014-04-12,420.66,bitcoin
2014-04-13,414.9495,bitcoin
2014-04-14,457.6338,bitcoin
2014-04-15,520.1233,bitcoin
2014-04-16,529.1625,bitcoin
2014-04-17,494.4,bitcoin
2014-04-18,478.2312,bitcoin
2014-04-19,501.5515,bitcoin
2014-04-20,497.3177,bitcoin
2014-04-21,492.6733,bitcoin
2014-04-22,484.8533,bitcoin
2014-04-23,487.525,bitcoin
2014-04-24,494.2733,bitcoin
2014-04-25,458.8067,bitcoin
